Company,Industry,Location,Website
Notion,Software,San Francisco,https://notion.so
Airtable,Software,Remote,https://airtable.com
Asana,Software,San Francisco,https://asana.com
ClickUp,Software,California,https://clickup.com
Zapier,Software,Remote,https://zapier.com
Linear,Software,New York,https://linear.app
Slack,Software,San Francisco,https://slack.com
Trello,Software,New York,https://trello.com
Monday.com,Software,Tel Aviv,https://monday.com
Figma,Software,San Francisco,https://figma.com
Tempus,Healthcare,Chicago,https://tempus.com
Flatiron Health,Healthcare,New York,https://flatiron.com
Olive,Healthcare,Columbus,https://oliveai.com
Butterfly Network,Healthcare,Connecticut,https://butterflynetwork.com
Ginger,Healthcare,San Francisco,https://ginger.com
Color,Healthcare,Burlingame,https://color.com
23andMe,Healthcare,Sunnyvale,https://23andme.com
Headspace,Healthcare,Santa Monica,https://headspace.com
Omada Health,Healthcare,San Francisco,https://omadahealth.com
GoodRx,Healthcare,Santa Monica,https://goodrx.com
